identifier,section,parameter,value
K.wmsk_alkis@senstadt,ALKIS Berlin (Amtliches Liegenschaftskatasterinformationssystem),Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.wmsk_alkis@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wms/senstadt/wmsk_alkis
K.wmsk_alkis@senstadt,Technische Angaben,Standard,WMS
K.wmsk_alkis@senstadt,Technische Angaben,Version,1.0.0
K.wmsk_alkis@senstadt,Technische Angaben,Version,1.1.0
K.wmsk_alkis@senstadt,Technische Angaben,Version,1.1.1
K.wmsk_alkis@senstadt,Technische Angaben,Version,1.3.0
K.wmsk_alkis@senstadt,Technische Angaben,Operationen,GetCapabilities
K.wmsk_alkis@senstadt,Technische Angaben,Operationen,GetMap
K.wmsk_alkis@senstadt,Technische Angaben,Grafikformate,image/jpeg
K.wmsk_alkis@senstadt,Technische Angaben,Grafikformate,image/png
K.k_alkis_bezirke@senstadt,ALKIS Berlin Bezirke,Kurzbeschreibung,"Berliner Bezirksgrenzen, abgeleitet aus dem Alkis Datenbestand"
K.k_alkis_bezirke@senstadt,ALKIS Berlin Bezirke,Koordinatensysteme,EPSG:25833
K.k_alkis_bezirke@senstadt,ALKIS Berlin Bezirke,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_alkis_bezirke@senstadt,ALKIS Berlin Bezirke,Ebenen,Bezirksgrenzen
K.k_alkis_bezirke@senstadt,ALKIS Berlin Bezirke,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_alkis_bezirke@senstadt,ALKIS Berlin Bezirke,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_alkis_bezirke@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wms/senstadt/k_alkis_bezirke
K.k_alkis_bezirke@senstadt,Technische Angaben,Standard,WMS
K.k_alkis_bezirke@senstadt,Technische Angaben,Version,1.0.0
K.k_alkis_bezirke@senstadt,Technische Angaben,Version,1.1.0
K.k_alkis_bezirke@senstadt,Technische Angaben,Version,1.1.1
K.k_alkis_bezirke@senstadt,Technische Angaben,Version,1.3.0
K.k_alkis_bezirke@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_alkis_bezirke@senstadt,Technische Angaben,Operationen,GetMap
K.k_alkis_bezirke@senstadt,Technische Angaben,Grafikformate,image/jpeg
K.k_alkis_bezirke@senstadt,Technische Angaben,Grafikformate,image/png
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Kurzbeschreibung,"Berliner Flurstücke,  abgeleitet aus dem Alkis Datenbestand"
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Koordinatensysteme,EPSG:25833
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Ebenen,Flurstücke
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_alkis_flurstuecke@senstadt,ALKIS Berlin Flurstücke,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wms/senstadt/k_alkis_flurstuecke
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Standard,WMS
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Version,1.0.0
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Version,1.1.0
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Version,1.1.1
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Version,1.3.0
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Operationen,GetMap
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Grafikformate,image/jpeg
K.k_alkis_flurstuecke@senstadt,Technische Angaben,Grafikformate,image/png
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Kurzbeschreibung,"Berliner Gebäude,  abgeleitet aus dem Alkis Datenbestand"
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Koordinatensysteme,EPSG:25833
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Ebenen,Gebäude
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_alkis_gebaeude@senstadt,ALKIS Berlin Gebäude,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_alkis_gebaeude@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wms/senstadt/k_alkis_gebaeude
K.k_alkis_gebaeude@senstadt,Technische Angaben,Standard,WMS
K.k_alkis_gebaeude@senstadt,Technische Angaben,Version,1.0.0
K.k_alkis_gebaeude@senstadt,Technische Angaben,Version,1.1.0
K.k_alkis_gebaeude@senstadt,Technische Angaben,Version,1.1.1
K.k_alkis_gebaeude@senstadt,Technische Angaben,Version,1.3.0
K.k_alkis_gebaeude@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_alkis_gebaeude@senstadt,Technische Angaben,Operationen,GetMap
K.k_alkis_gebaeude@senstadt,Technische Angaben,Grafikformate,image/jpeg
K.k_alkis_gebaeude@senstadt,Technische Angaben,Grafikformate,image/png
K.k_alkis_land@senstadt,ALKIS Berlin Landesgrenze,Kurzbeschreibung,"Berliner Landesgenze,  abgeleitet aus dem Alkis Datenbestand"
K.k_alkis_land@senstadt,ALKIS Berlin Landesgrenze,Koordinatensysteme,EPSG:25833
K.k_alkis_land@senstadt,ALKIS Berlin Landesgrenze,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_alkis_land@senstadt,ALKIS Berlin Landesgrenze,Ebenen,Landesgrenze
K.k_alkis_land@senstadt,ALKIS Berlin Landesgrenze,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_alkis_land@senstadt,ALKIS Berlin Landesgrenze,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_alkis_land@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wms/senstadt/k_alkis_land
K.k_alkis_land@senstadt,Technische Angaben,Standard,WMS
K.k_alkis_land@senstadt,Technische Angaben,Version,1.0.0
K.k_alkis_land@senstadt,Technische Angaben,Version,1.1.0
K.k_alkis_land@senstadt,Technische Angaben,Version,1.1.1
K.k_alkis_land@senstadt,Technische Angaben,Version,1.3.0
K.k_alkis_land@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_alkis_land@senstadt,Technische Angaben,Operationen,GetMap
K.k_alkis_land@senstadt,Technische Angaben,Grafikformate,image/jpeg
K.k_alkis_land@senstadt,Technische Angaben,Grafikformate,image/png
K.k_alkis_ortsteile@senstadt,ALKIS Berlin Ortsteile,Kurzbeschreibung,"Berliner Ortsteilgrenzen, abgeleitet aus dem Alkis Datenbestand"
K.k_alkis_ortsteile@senstadt,ALKIS Berlin Ortsteile,Koordinatensysteme,EPSG:25833
K.k_alkis_ortsteile@senstadt,ALKIS Berlin Ortsteile,Ausdehnung,"EPSG:25833: 369097,85, 5799298,14, 416865,04, 5838236,21"
K.k_alkis_ortsteile@senstadt,ALKIS Berlin Ortsteile,Ebenen,Ortsteile
K.k_alkis_ortsteile@senstadt,ALKIS Berlin Ortsteile,Nutzungsbedingungen,"Für die Nutzung der Daten ist die  Datenlizenz Deutschland - Namensnennung - Version 2.0 anzuwenden. Die Lizenz ist über https://www.govdata.de/dl-de/by-2-0 abrufbar. Der Quellenvermerk gemäß (2) der Lizenz lautet ""Geoportal Berlin / [Titel des Datensatzes]""."
K.k_alkis_ortsteile@senstadt,ALKIS Berlin Ortsteile,Zugriffsbeschränkungen,Es gelten keine Zugriffsbeschränkungen
K.k_alkis_ortsteile@senstadt,Technische Angaben,Rechneradresse,https://fbinter.stadt-berlin.de/fb/wms/senstadt/k_alkis_ortsteile
K.k_alkis_ortsteile@senstadt,Technische Angaben,Standard,WMS
K.k_alkis_ortsteile@senstadt,Technische Angaben,Version,1.0.0
K.k_alkis_ortsteile@senstadt,Technische Angaben,Version,1.1.0
K.k_alkis_ortsteile@senstadt,Technische Angaben,Version,1.1.1
K.k_alkis_ortsteile@senstadt,Technische Angaben,Version,1.3.0
K.k_alkis_ortsteile@senstadt,Technische Angaben,Operationen,GetCapabilities
K.k_alkis_ortsteile@senstadt,Technische Angaben,Operationen,GetMap
K.k_alkis_ortsteile@senstadt,Technische Angaben,Grafikformate,image/jpeg
K.k_alkis_ortsteile@senstadt,Technische Angaben,Grafikformate,image/png
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Kurzbeschreibung,In ALKIS Berlin werden die aktuellen Grundrissdaten des Liegenschaftskatasters flächendeckend geführt.
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Koordinatensysteme,"EPSG:25833, EPSG:3068, EPSG:4258, EPSG:25832"
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ausdehnung,"EPSG:25833: 369097, 5799298, 416865, 5838236"
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ausdehnung,"EPSG:3068: 2749,16, 249,86, 49779,98, 40099,8"
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ausdehnung,"EPSG:4258: 13,08, 52,33, 13,77, 52,69"
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ausdehnung,"EPSG:25832: 777914,12, 5805396,89, 822326,5, 5848208,39"
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Lagebezeichnung
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Tatsächliche Flächennutzung
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Tatsächliche Flächennutzung - Flächen
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Gewaesser Vegetation Linien
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Relief
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Erläuterungen zu untergeordneten Gewässern und Vegetation
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Bauwerke
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Gebäude
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Gebäude - Navigation
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Rechtliche Festlegungen
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Flurstücke
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Gewässer- und Vegetationsflächen
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Erläuterungen Bauwerke
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Erläuterungen Gebäude
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Ortsteile
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Flurstücksnummer
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Erläuterungen Tatsächliche Flächennutzungen
K.wmsk_alkis_sw@senstadt,ALKIS Berlin s/w (Amtliches Liegenschaftskatasterinformationssystem),Ebenen,Vegetation - Punkte
